id,year,make,model,trim,vin,is_new,exterior_color,interior_color,engine_cylinders,drive_train,transmission,transmission_desc,epa_city,epa_highway,fuel_type,selling_price,mileage,description,features,comments
42,2022,Nissan,Pathfinder,Platinum 2WD,5N1DR3DH5NC203489,False,Gun Metallic,Charcoal,6.0,Front Wheel Drive,Automatic,Automatic,21.0,26.0,Gasoline Fuel,40995.0,31502.0,"CARFAX One-Owner. Clean CARFAX. Gun Metallic 2022 Nissan Pathfinder Platinum FWD 9-Speed Automatic V6 Automatic temperature control, Cargo Area Protector, Cargo Net, Cargo Package, First Aid Kit, Front dual zone A/C, Navigation system: NissanConnect Navigation, Power Liftgate, Power moonroof, Steering wheel mounted audio controls, Telescoping steering wheel, Tilt steering wheel, Wheels: 20 Alloy w/Unique Finish.Recent Arrival! 21/26 City/Highway MPGIf you have any questions or would like some general information about financing or would like a price quote on a new or used vehicle please call.",,
43,2023,Chevrolet,Tahoe,4WD 4dr High Country,1GNSKTKL9PR392470,True,Black,Jet Black,8.0,Four Wheel Drive,Automatic,Automatic,14.0,19.0,Gasoline Fuel,83900.0,2.0,,,
44,2020,Chevrolet,Colorado,"4WD Crew Cab 128"" LT",1GCGTCEN6L1203792,False,Red Hot,Jet Black,6.0,Four Wheel Drive,Automatic,Automatic,17.0,24.0,Gasoline Fuel,31996.0,59607.0,"Prior Rental. CARFAX One-Owner. Red Hot 2020 Chevrolet Colorado LT 4WD 8-Speed Automatic V6 Prior Rental, Apple CarPlay, Exterior Parking Camera Rear, Preferred Equipment Group 4LT, Telescoping steering wheel, Tilt steering wheel, Wheels: 17 x 8 Blade Silver Metallic Cast Alloy.Recent Arrival! Odometer is 2033 miles below market average!Awards:* 2020 KBB.com Best Buy AwardsIf you have any questions or would like some general information about financing or would like a price quote on a new or used vehicle please call.",,
45,2023,Chevrolet,Equinox,AWD 4dr RS,3GNAXWEG6PL254793,True,Summit White,Jet Black,4.0,All Wheel Drive,Automatic,Automatic,24.0,30.0,Gasoline Fuel,37015.0,7.0,,,
46,2023,Chevrolet,Silverado 1500,"2WD Crew Cab 147"" LT",3GCPACEK1PG263451,True,Black,Jet Black,4.0,Rear Wheel Drive,Automatic,Automatic,19.0,22.0,Gasoline Fuel,52235.0,8.0,,,
47,2023,Chevrolet,Silverado 1500,"2WD Crew Cab 157"" LT",3GCPACED6PG318249,True,Red Hot,Gideon/Very Dark Atmosphere,4.0,Rear Wheel Drive,Automatic,Automatic,17.0,21.0,Gasoline Fuel,54435.0,5.0,,,
48,2023,Chevrolet,Trailblazer,FWD 4dr LT,KL79MPS22PB155860,True,Sterling Gray Metallic,Jet Black,3.0,Front Wheel Drive,,Variable,29.0,31.0,Gasoline Fuel,29345.0,4.0,,,
49,2023,Chevrolet,Trailblazer,FWD 4dr LT,KL79MPS29PB155743,True,Sterling Gray Metallic,Jet Black,3.0,Front Wheel Drive,,Variable,29.0,31.0,Gasoline Fuel,29345.0,4.0,,,
50,2023,Chevrolet,Trailblazer,FWD 4dr LT,KL79MPSL0PB151105,True,Crimson Metallic,Jet Black,3.0,Front Wheel Drive,,Variable,29.0,33.0,Gasoline Fuel,30270.0,4.0,,,
51,2023,Chevrolet,Silverado 1500,"2WD Crew Cab 147"" LT",3GCPACEK8PG263477,True,Black,Jet Black,4.0,Rear Wheel Drive,Automatic,Automatic,19.0,22.0,Gasoline Fuel,52235.0,8.0,,,
52,2023,Chevrolet,Equinox,FWD 4dr LS w/1LS,3GNAXHEG5PL272049,True,Sterling Gray Metallic,Medium Ash Gray,4.0,Front Wheel Drive,Automatic,Automatic,26.0,31.0,Gasoline Fuel,29570.0,4.0,,,
53,2023,Chevrolet,Silverado 1500,"2WD Crew Cab 157"" LT",3GCPACED0PG320935,True,Radiant Red Tintcoat,Jet Black,4.0,Rear Wheel Drive,Automatic,Automatic,17.0,21.0,Gasoline Fuel,54930.0,4.0,,,
54,2020,Nissan,Maxima,S 3.5L,1N4AA6BV2LC375751,False,Pearl White Tricoat,Charcoal,6.0,Front Wheel Drive,,Variable,20.0,30.0,Gasoline Fuel,27595.0,24745.0,"Clean CARFAX. Pearl White Tricoat 2020 Nissan Maxima 3.5 S FWD CVT with Xtronic 3.5L V6 DOHC 24V 18 Machined Alloy Wheels, Automatic temperature control, Front dual zone A/C, Rear Parking Sensors, Steering wheel mounted audio controls, Telescoping steering wheel, Tilt steering wheel.Recent Arrival! 20/30 City/Highway MPGAwards:* JD Power Automotive Performance, Execution and Layout (APEAL) Study, Initial Quality Study (IQS)If you have any questions or would like some general information about financing or would like a price quote on a new or used vehicle please call.",,
55,2023,Chevrolet,Equinox,FWD 4dr LS w/1LS,3GNAXHEG1PL272016,True,Sterling Gray Metallic,Medium Ash Gray,4.0,Front Wheel Drive,Automatic,Automatic,26.0,31.0,Gasoline Fuel,29570.0,3.0,,,
56,2020,Chevrolet,Traverse,FWD 4dr LT Cloth w/1LT,1GNERGKW2LJ153362,False,Cajun Red Tintcoat,Jet Black,6.0,Front Wheel Drive,Automatic,Automatic,18.0,27.0,Gasoline Fuel,32995.0,30676.0,"CARFAX One-Owner. Clean CARFAX. Cajun Red Tintcoat 2020 Chevrolet Traverse LT 1LT FWD 9-Speed Automatic 3.6L V6 SIDI VVT Factory Certified, 1st & 2nd Row All-Weather Floor Liner (LPO), 3rd Row All-Weather Floor Liner (LPO), Automatic temperature control, Floor Liner Package (LPO), Front dual zone A/C, Integrated Cargo Liner (LPO), Preferred Equipment Group 1LT, Steering wheel mounted audio controls, Telescoping steering wheel, Tilt steering wheel, Wheels: 18 Bright Silver Painted Aluminum.Recent Arrival! Odometer is 12673 miles below market average! 18/27 City/Highway MPGIf you have any questions or would like some general information about financing or would like a price quote on a new or used vehicle please call.",,
57,2023,Chevrolet,Traverse,FWD 4dr LT Cloth w/1LT,1GNERGKW0PJ270704,True,Summit White,Jet Black,6.0,Front Wheel Drive,Automatic,Automatic,18.0,27.0,Gasoline Fuel,40100.0,4.0,,,
58,2023,Chevrolet,Traverse,FWD 4dr LT Cloth w/1LT,1GNERGKW6PJ269721,True,Sterling Gray Metallic,Jet Black,6.0,Front Wheel Drive,Automatic,Automatic,18.0,27.0,Gasoline Fuel,39865.0,4.0,,,
59,2020,Chevrolet,Malibu,4dr Sdn LT,1G1ZD5ST9LF124892,False,Silver Ice Metallic,Jet Black,4.0,Front Wheel Drive,Automatic,Automatic,29.0,36.0,Gasoline Fuel,19995.0,61594.0,"Prior Rental. CARFAX One-Owner. Clean CARFAX. Silver Ice Metallic 2020 Chevrolet Malibu LT FWD CVT 1.5L DOHC **CARFAX 1 OWNER **, **NAVIGATION / GPS / NAVI **, **CLEAN CARFAX**, Prior Rental, Jet Black Cloth.29/36 City/Highway MPGAwards:* JD Power Initial Quality StudyIf you have any questions or would like some general information about financing or would like a price quote on a new or used vehicle please call.",,
60,2023,Chevrolet,Silverado 1500,"2WD Crew Cab 157"" LT",3GCPACED7PG327199,True,Summit White,Jet Black,4.0,Rear Wheel Drive,Automatic,Automatic,17.0,21.0,Gasoline Fuel,67670.0,2.0,,,
61,2023,Chevrolet,Silverado 1500,"2WD Crew Cab 157"" LT",3GCPACED0PG327013,True,Summit White,Jet Black,4.0,Rear Wheel Drive,Automatic,Automatic,17.0,21.0,Gasoline Fuel,54675.0,2.0,,,
